score,area,area_rank,title,company,location,location_tier,work_mode,employment_type,seniority,areas,flags,source,posted_at,first_seen_at,url
75,ld,1,"PODSEKRETAR ZA SISTEMSKA VPRAŠANJA (410002), SEKRETARIAT GENERALNEGA SEKRETARJA, SLUŽBA ZA KADROVSKE ZADEVE - M/Ž",MINISTRSTVO ZA OBRAMBO,Ljubljana,ljubljana,unknown,permanent,unknown,ld,,zrsz,2026-09-11,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=CZK00300/#/pdm/CZK00300
75,ld,1,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO LJUBLJANA - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,LJUBLJANA,ljubljana,unknown,permanent,mid,ld,,zrsz,2026-09-04,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472541/#/pdm/3472541
75,ld,1,Samostojni skrbnik za razvoj kadrov (m/ž),NLB Lease&Go d.o.o.,Ljubljana,ljubljana,unknown,permanent,mid,ld,,mojedelo,2026-09-10,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/samostojni-skrbnik-za-razvoj-kadrov-m-z/c652bb02-a326-418b-b1fa-1c3206c7aa02
68,ld,1,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO DOMŽALE, KAMNIK - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,DOMŽALE,ljubljana,unknown,fixed-term,mid,ld,,zrsz,2026-09-04,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472366/#/pdm/3472366
68,ld,1,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO VRHNIKA, LOGATEC, CERKNICA - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,VRHNIKA,ljubljana,unknown,fixed-term,mid,ld,,zrsz,2026-09-07,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3473637/#/pdm/3473637
67,hr,3,E097030 KADROVIK VII/1 - M/Ž,ZDRAVSTVENI DOM DOMŽALE,DOMŽALE,ljubljana,unknown,permanent,unknown,hr,,zrsz,2026-09-14,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3477734/#/pdm/3477734
67,ld,1,Senior HR Operations Specialist (m/ž),Banka Intesa Sanpaolo d. d.,Ljubljana,ljubljana,unknown,permanent,senior,"ld,hr",body:obračun plač,mojedelo,2026-09-10,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/senior-hr-operations-specialist-m-z/26b7c951-1825-44d5-b5a8-2087bc2cc44e
64,projects,2,KOORDINATOR PROJEKTA PP00001.00 - M/Ž,Institut »Jožef Stefan«,LJUBLJANA,ljubljana,unknown,fixed-term,unknown,projects,,zrsz,2026-09-10,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3476460/#/pdm/3476460
64,projects,2,PROJEKTNI VODJA - M/Ž,TEHNOLOŠKI PARK LJUBLJANA D.O.O.,LJUBLJANA,ljubljana,unknown,fixed-term,senior,projects,,zrsz,2026-09-04,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472201/#/pdm/3472201
60,ld,1,Digital Marketing and Training Coordinator,Inštitut za računovodstvo,"Brezovica pri Ljubljani, Brezovica, Slovenia",ljubljana,unknown,unknown,unknown,ld,,linkedin,2026-09-10,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/digital-marketing-and-training-coordinator-at-in%C5%A1titut-za-ra%C4%8Dunovodstvo-4465631858
60,hr,3,E097030 KADROVIK VII/1 - M/Ž,ZDRAVSTVENI DOM DOMŽALE,DOMŽALE,ljubljana,unknown,fixed-term,unknown,hr,,zrsz,2026-09-14,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3477740/#/pdm/3477740
60,projects,2,GO27910 VODJA PROJEKTOV - M/Ž,MESTNO GLEDALIŠČE LJUBLJANSKO,LJUBLJANA,ljubljana,unknown,part-time,senior,projects,,zrsz,2026-09-15,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3478496/#/pdm/3478496
60,projects,2,H029002 VODILNI STROKOVNI SODELAVEC Z DOKTORATOM - DELO NA PROJEKTU - M/Ž,NARODNA IN UNIVERZITETNA KNJIŽNICA,LJUBLJANA,ljubljana,unknown,part-time,senior,projects,,zrsz,2026-09-01,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3470819/#/pdm/3470819
60,ld,1,Office Manager,Kaching d.o.o.,Ljubljana,ljubljana,unknown,unknown,unknown,ld,,mojedelo,2026-09-09,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/office-manager/1ecb9f16-1e00-463a-b22b-a07584076637
60,ld,1,Priložnost za vodstvene pozicije (m/ž),ADECCO H.R. d.o.o.,ljubljana,ljubljana,unknown,unknown,unknown,ld,,mojedelo,2026-08-16,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/priloznost-za-vodstvene-pozicije-m-z/f579725f-ff20-46df-958f-50471a183974
60,ld,1,Višji/-a vodja kadrovanja (m/ž) / Senior HR Manager (m/ž),Kaching d.o.o.,Ljubljana,ljubljana,unknown,unknown,senior,ld,,mojedelo,2026-09-09,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/visji-a-vodja-kadrovanja-m-z-senior-hr-manager-m-z/cf8701ee-a58a-4eea-986b-ff7319605f9a
56,projects,2,Niamito Marketing Project Coordinator,LoginEKO,"City Municipality of Ljubljana, Slovenia",ljubljana,unknown,unknown,unknown,projects,,linkedin,2026-08-31,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/niamito-marketing-project-coordinator-at-logineko-4461051741
56,projects,2,Project Manager,Kaching d.o.o.,Ljubljana,ljubljana,unknown,unknown,unknown,projects,,mojedelo,2026-09-02,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/project-manager/1473a89d-f06e-485e-8110-26f532ea7886
56,projects,2,Project Manager / Business Analyst,Mikrocop,"Ljubljana, Ljubljana, Slovenia",ljubljana,unknown,unknown,unknown,projects,,linkedin,2026-08-25,2026-09-15T18:28:18.605Z,https://si.linkedin.com/jobs/view/project-manager-business-analyst-at-mikrocop-4450474390
